NVAR: 56 
VARNAMES: CID CIDint IDSURVEY TYPE FIELD CUTFLAG_SNANA zHD zHDERR z zERR HOST_LOGMASS HOST_LOGMASS_ERR SNRMAX1 SNRMAX2 SNRMAX3 PKMJD PKMJDERR x1 x1ERR c cERR mB mBERR x0 x0ERR COV_x1_c COV_x1_x0 COV_c_x0 NDOF FITCHI2 FITPROB SIM_TYPE_INDEX SIM_NONIA_INDEX SIM_ZCMB SIM_DLMAG SIM_PKMJD SIMx1 SIMc SIMbeta SIM_x0 SIM_mb SIMZ MWEBV T0GAPMAX delmu RA DECL MU MUMODEL MUERR MUERR_RAW MURES MUPULL ERRCODE SIM_MU SIM_MB 

# SALT2mu fit results: 
#  NSNFIT   = 349    [ true CC/(Ia+CC) = 0.0000) ] 
#  -2log(L) = 323.41    
#  chi2(Ia)/dof = 323.41/348 = 0.986    
#  sigint   = 0.1100  (1 iterations)
#  Omega_L        =      0.69237 +-    0.01293   
#  M0avg          =    -30.00500 
#  m0-M0avg chi2/dof = 0.0 / -1 
 
SN: 1 1 10 101 C3 1 0.70827 0.00100 0.70893 0.00100 -9 -9 16.5292 11.4232 9.7874 56945.766 0.626 -2.23686e-01 0.4513 0.1469 6.17197e-02 24.2733 4.99202e-02 3.50506e-06 1.64919e-07 3.26528e-03 -4.36225e-08 -5.02790e-09 61 48.6703 0.8729 1 0 0.7070 43.1735 56946.242 5.11837e-03 0.1124 3.2000 3.86425e-06 24.1673 0.7070 9.52400e-03 3.9910 -5.01090e-02 53.507744 -26.656513  43.1419 43.1705  0.2205  0.1911 -0.029 -0.130 0 43.1735 13.5323 
SN: 2 2 10 101 X3 1 0.35308 0.00100 0.35408 0.00100 -9 -9 22.5939 14.6661 11.5719 56899.926 0.550 0.9299 0.4217 0.1796 3.93946e-02 22.5121 6.48949e-02 1.77491e-05 1.09322e-06 5.00484e-03 -2.92170e-07 -3.37950e-08 34 20.2204 0.9783 1 0 0.3543 41.3752 56899.594 7.67069e-02 9.76698e-02 3.2000 2.13396e-05 22.3120 0.3543 8.10200e-03 9.5054 5.26330e-02 8.461610 -43.071167  41.4375 41.3620  0.1528  0.1060  0.075  0.494 0 41.3752 11.6770 
SN: 3 3 10 101 S1 1 0.36385 0.00100 0.36487 0.00100 -9 -9 23.9143 19.2417 18.9376 56992.500 0.300 -5.42040e-01 0.2717 0.1028 3.13213e-02 22.4441 3.84482e-02 1.88957e-05 6.81124e-07 1.38831e-03 -8.49146e-08 -1.47627e-08 50 46.0308 0.6709 1 0 0.3638 41.4425 56992.363 -5.50372e-01 9.01414e-02 3.2000 1.89139e-05 22.4430 0.3638 9.39300e-03 8.0308 -5.18580e-02 8.293634 -42.693840  41.4092 41.4383  0.1411  0.0884 -0.029 -0.206 0 41.4425 11.8080 
SN: 4 4 10 101 S2 1 0.77978 0.00100 0.78119 0.00100 -9 -9 7.3772 7.3646 6.4066 56621.191 1.782 -4.19795e-01 1.2895 8.52869e-02 0.1084 23.7751 0.1133 5.54561e-06 6.09947e-07 4.50197e-02 -6.56348e-07 -2.51459e-08 57 69.8278 0.1374 1 0 0.7802 43.4357 56622.777 -2.54442e-01 -5.21764e-02 3.2000 4.76706e-06 23.9394 0.7802 3.32210e-02 6.1581 -6.37111e-01 36.593399 -6.615117  42.8134 43.4260  0.3787  0.3624 -0.613 -1.618 0 43.4357 13.3044 
SN: 5 5 10 101 C1 1 0.43022 0.00100 0.43125 0.00100 -9 -9 58.1385 45.6661 35.6189 56658.746 0.236 -2.09600e-02 0.2055 -1.85979e-01 2.38943e-02 21.8493 2.76814e-02 3.26812e-05 8.43936e-07 9.17549e-04 -7.14112e-08 -1.32838e-08 33 37.3961 0.3159 1 0 0.4301 41.8707 56658.965 -3.19663e-01 -1.71479e-01 3.2000 2.83991e-05 22.0017 0.4301 8.95100e-03 5.5759 -7.78800e-02 9.442448 -43.889503  41.8115 41.8666  0.1290  0.0674 -0.055 -0.428 0 41.8707 11.3667 
SN: 6 6 10 101 X2 1 0.85884 0.00100 0.86031 0.00100 -9 -9 8.9838 6.3740 5.4227 56609.105 1.340 2.2859 1.1901 -4.21129e-02 6.90643e-02 23.8134 8.85113e-02 5.35348e-06 4.54708e-07 2.37654e-02 -3.76450e-07 -1.45856e-09 52 46.2670 0.7318 1 0 0.8614 43.7003 56609.066 0.7992 -9.19965e-02 3.2000 4.81263e-06 23.9290 0.8614 2.56040e-02 7.0049 -7.01840e-02 36.879166 -5.158982  43.6382 43.6835  0.3089  0.2887 -0.045 -0.147 0 43.7003 13.2940 
